Date: 20-04-2017 02:36:45 AM  Account : kaishashank User : Crickzz Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;33;9667;0;9667;33;88478001;1; 
Date: 20-04-2017 07:14:07 AM  Account : abultimate007 User : Lily Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 20-04-2017 08:41:59 AM  Account : junior User : Teerbaaz Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-04-2017 10:17:38 AM  Account : kaishashank User : Crickzz Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 20-04-2017 01:07:26 PM  Account : king.vats User : Cleo Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-04-2017 02:28:30 PM  Account : kingjack User : Loveneo Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 20-04-2017 02:33:32 PM  Account : rustum123 User : Brontok Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;80;0; 
Date: 20-04-2017 06:41:37 PM  Account : sestoa User : Papahk Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 20-04-2017 06:52:19 PM  Account : royal1992 User : Bastera Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-04-2017 09:56:59 PM  Account : stardust User : Sagemage Reward: -, RB: 1, Item Used:none Item Replaced:none 
