Date: 09-06-2013 04:02:40 AM IP: 114.79.179.112 User : Not loggedin Code: 03AHJ_VuteSYWN3Spwfs8O9DTq5acypdSjzts2SGxoJIEMTyZ7x7TjlqX87Q7nBJ0x-9qw7o2oTp52cedGmaozecoa35uKiXjU3dyV9ckq6NO1Fnz4yIUTb75qpR70qs3DWstkzqSAVnuFi_0QmHAJyJEZWyne3OdPGYj-dR7LhQ0Ph-Wo0qflmZ8, Fixed: 03AHJ_VuteSYWN3Spwfs8O9DTq5acypdSjzts2SGxoJIEMTyZ7x7TjlqX87Q7nBJ-9qw7o2oTp52cedGmaozecoa35uKiXjU3dyV9ckq6NO1Fnz4yIUTb75qpR70qs3DWstkzqSAVnuFi_0QmHAJyJEZWyne3OdPGYj-dR7LhQ0Ph-Wo0qflmZ8, Link: http://acp.a3ultimate.com/register.php
Date: 09-06-2013 08:27:20 AM IP: 123.236.49.48 User : pritam Code: Banned due to statements against a perticular player's Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Fixed: Banned due to statements against a perticular players Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:27:20 AM IP: 123.236.49.48 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:30:00 AM IP: 123.236.49.48 User : pritam Code: Banned due to statements against a perticular player's Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Fixed: Banned due to statements against a perticular players Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:30:00 AM IP: 123.236.49.48 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:36:09 AM IP: 123.236.49.48 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:44:37 AM IP: 123.236.49.48 User : pritam Code: Banned due to statements against a perticular player's Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Fixed: Banned due to statements against a perticular players Family member. /Please contact GMProt on 09555511333 after 17th June for Unban//Team Ultimate, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 08:44:37 AM IP: 123.236.49.48 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 03:25:01 PM IP: 117.219.98.226 User : cjoshi Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 09-06-2013 03:26:22 PM IP: 117.219.98.226 User : cjoshi Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
